Event,Interrupt,Desc,Int Data,Desc,Endpoint,mRequest,Request,Value,Index,Length,PacketSize,XferBuff0,XferBuff1
0,400,RESET,0,,0,0,0,0,0,0,0,0,0
1,400,RESET,0,,0,0,0,0,0,0,0,0,0
2,800,SUSP,0,,0,0,0,0,0,0,0,0,0
3,1000,WKUP,0,,0,0,0,0,0,0,0,0,0
4,400,RESET,0,,0,0,0,0,0,0,0,0,0
5,8010,CTR_OUT,0,Get Device Descriptor,0,80,6,100,0,40,12,2010112, 400102EF
6,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
7,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
8,8010,CTR_OUT,0,Set Address to 46,0,0,5, 2E,0,0,0,0,0
9,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
10,8010,CTR_OUT,0,Get Device Descriptor,0,80,6,100,0,12,12,2010112, 400102EF
11,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
12,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
13,8010,CTR_OUT,0,Get Configuration Descriptor,0,80,6,200,0, FF, 4B, 4B0209, C0000102
14,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
15,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
16,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
17,8010,CTR_OUT,0,Get BOS Descriptor,0,80,6, F00,0, FF, C, C0F05,2100701
18,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
19,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
20,8010,CTR_OUT,0,Get Serial Str Descriptor,0,80,6,303,409, FF, 1A, 30031A,360030
21,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
22,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
23,8010,CTR_OUT,0,Get Lang Str Descriptor,0,80,6,300,0, FF,4,4090304,0
24,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
25,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
26,8010,CTR_OUT,0,Get Product Str Descriptor,0,80,6,302,409, FF, 2C, 4D032C, 75006F
27,8000,CTR_IN,0,,0,0,0,0,0,0,0,0,0
28,8010,CTR_OUT,0,Setup phase done,0,0,0,0,0,0,0,0,0
29,8010,CTR_OUT,0,Get Descriptor,0,80,6,600,0, A,0,0,0
