Sample,Time,Ann Class,Value,
16097052,80.485 ms,Packet: SETUP,SETUP ADDR 0 EP 0,
16097702,80.489 ms,Packet: DATA0,DATA0 [ 80 06 00 01 00 00 40 00 ],
16099404,80.497 ms,Packet: ACK,ACK,
16101885,80.509 ms,Packet: IN,IN ADDR 0 EP 0,
16102519,80.513 ms,Packet: NAK,NAK,
16111952,80.560 ms,Packet: IN,IN ADDR 0 EP 0,
16112582,80.563 ms,Packet: DATA1,DATA1 [ 12 01 00 02 02 02 00 40 83 04 40 57 00 02 01 02 03 01 ],
16115652,80.578 ms,Packet: ACK,ACK,
16117185,80.586 ms,Packet: OUT,OUT ADDR 0 EP 0,
16117835,80.589 ms,Packet: DATA1,DATA1 [ ],
16118470,80.592 ms,Packet: NAK,NAK,
16126018,80.630 ms,Packet: OUT,OUT ADDR 0 EP 0,
16126668,80.633 ms,Packet: DATA1,DATA1 [ ],
16127311,80.637 ms,Packet: ACK,ACK,
26461713,132.309 ms,Packet: SETUP,SETUP ADDR 0 EP 0,
26462363,132.312 ms,Packet: DATA0,DATA0 [ 00 05 10 00 00 00 00 00 ],
26464067,132.320 ms,Packet: ACK,ACK,
26466346,132.332 ms,Packet: IN,IN ADDR 0 EP 0,
26466978,132.335 ms,Packet: NAK,NAK,
26474863,132.374 ms,Packet: IN,IN ADDR 0 EP 0,
26475494,132.377 ms,Packet: DATA1,DATA1 [ ],
26476179,132.381 ms,Packet: ACK,ACK,
28518518,142.593 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
28519168,142.596 ms,Packet: DATA0,DATA0 [ 80 06 00 01 00 00 12 00 ],
28520871,142.604 ms,Packet: ACK,ACK,
28523368,142.617 ms,Packet: IN,IN ADDR 16 EP 0,
28524002,142.620 ms,Packet: NAK,NAK,
28533352,142.667 ms,Packet: IN,IN ADDR 16 EP 0,
28533981,142.670 ms,Packet: DATA1,DATA1 [ 12 01 00 02 02 02 00 40 83 04 40 57 00 02 01 02 03 01 ],
28537052,142.685 ms,Packet: ACK,ACK,
28538518,142.693 ms,Packet: OUT,OUT ADDR 16 EP 0,
28539168,142.696 ms,Packet: DATA1,DATA1 [ ],
28539802,142.699 ms,Packet: NAK,NAK,
28547418,142.737 ms,Packet: OUT,OUT ADDR 16 EP 0,
28548068,142.740 ms,Packet: DATA1,DATA1 [ ],
28548703,142.744 ms,Packet: ACK,ACK,
29834438,149.172 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
29835088,149.175 ms,Packet: DATA0,DATA0 [ 80 06 00 02 00 00 FF 00 ],
29836803,149.184 ms,Packet: ACK,ACK,
29839272,149.196 ms,Packet: IN,IN ADDR 16 EP 0,
29839901,149.200 ms,Packet: NAK,NAK,
29849755,149.249 ms,Packet: IN,IN ADDR 16 EP 0,
29850386,149.252 ms,Packet: DATA1,DATA1 [ 09 02 43 00 02 01 00 C0 32 09 04 00 00 01 02 02 01 00 05 24 00 10 01 05 24 01 00 01 04 24 02 02 05 24 06 00 01 07 05 82 03 08 00 10 09 04 01 00 02 0A 00 00 00 07 05 01 02 40 00 00 07 05 81 02 ],
29859572,149.298 ms,Packet: ACK,ACK,
29863389,149.317 ms,Packet: IN,IN ADDR 16 EP 0,
29864020,149.320 ms,Packet: DATA0,DATA0 [ 40 00 00 ],
29865105,149.326 ms,Packet: ACK,ACK,
29868589,149.343 ms,Packet: OUT,OUT ADDR 16 EP 0,
29869239,149.346 ms,Packet: DATA1,DATA1 [ ],
29869875,149.349 ms,Packet: ACK,ACK,
29893089,149.465 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
29893739,149.469 ms,Packet: DATA0,DATA0 [ 80 06 03 03 09 04 FF 00 ],
29895454,149.477 ms,Packet: ACK,ACK,
29897922,149.490 ms,Packet: IN,IN ADDR 16 EP 0,
29898552,149.493 ms,Packet: NAK,NAK,
29907155,149.536 ms,Packet: IN,IN ADDR 16 EP 0,
29907788,149.539 ms,Packet: DATA1,DATA1 [ 1A 03 32 00 30 00 36 00 44 00 33 00 38 00 37 00 45 00 33 00 33 00 33 00 36 00 ],
29911922,149.560 ms,Packet: ACK,ACK,
29916739,149.584 ms,Packet: OUT,OUT ADDR 16 EP 0,
29917389,149.587 ms,Packet: DATA1,DATA1 [ ],
29918031,149.590 ms,Packet: ACK,ACK,
29939622,149.698 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
29940272,149.701 ms,Packet: DATA0,DATA0 [ 80 06 00 03 00 00 FF 00 ],
29941986,149.710 ms,Packet: ACK,ACK,
29945522,149.728 ms,Packet: IN,IN ADDR 16 EP 0,
29946155,149.731 ms,Packet: DATA1,DATA1 [ 04 03 09 04 ],
29947372,149.737 ms,Packet: ACK,ACK,
29950872,149.754 ms,Packet: OUT,OUT ADDR 16 EP 0,
29951522,149.758 ms,Packet: DATA1,DATA1 [ ],
29952158,149.761 ms,Packet: ACK,ACK,
29961139,149.806 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
29961789,149.809 ms,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ],
29963502,149.818 ms,Packet: ACK,ACK,
29965972,149.830 ms,Packet: IN,IN ADDR 16 EP 0,
29966605,149.833 ms,Packet: NAK,NAK,
29975556,149.878 ms,Packet: IN,IN ADDR 16 EP 0,
29976187,149.881 ms,Packet: DATA1,DATA1 [ 2C 03 53 00 54 00 4D 00 33 00 32 00 20 00 56 00 69 00 72 00 74 00 75 00 61 00 6C 00 20 00 43 00 6F 00 6D 00 50 00 6F 00 72 00 74 00 ],
29982722,149.914 ms,Packet: ACK,ACK,
29985189,149.926 ms,Packet: OUT,OUT ADDR 16 EP 0,
29985839,149.929 ms,Packet: DATA1,DATA1 [ ],
29986476,149.932 ms,Packet: ACK,ACK,
